,max_depth,learning_rate,n_estimators,min_child_weight,subsample,Seed,VBS_test,SBS_test,Accuracy_test,Score_test,Gap_test,VBS_train,SBS_train,Accuracy_train,Score_train,Gap_train
XGB_depth_2_lr_0.001_estimators_100_childweight_1_subsample_0.6_seed_1,2.0,0.001,100.0,1.0,0.6,1.0,1910.8337724711569,5106.399455325999,0.6751,2956.0017011000805,0.672931796008275,1936.8916563799808,4801.996742251442,0.6607,2991.0521957600968,0.632069153561438
XGB_depth_2_lr_0.001_estimators_100_childweight_0.5_subsample_0.6_seed_1,2.0,0.001,100.0,0.5,0.6,1.0,1910.8337724711569,5106.399455325999,0.6751,2956.0017011000805,0.672931796008275,1936.8916563799808,4801.996742251442,0.6607,2991.0521957600968,0.632069153561438
XGB_depth_2_lr_0.001_estimators_200_childweight_2_subsample_0.7_seed_1,2.0,0.001,200.0,2.0,0.7,1.0,1910.8337724711569,5106.399455325999,0.6745,2956.159063590019,0.672882551991548,1936.8916563799808,4801.996742251442,0.6605,2993.2489098349656,0.6313024402964686
XGB_depth_2_lr_0.001_estimators_200_childweight_0.5_subsample_0.7_seed_1,2.0,0.001,200.0,0.5,0.7,1.0,1910.8337724711569,5106.399455325999,0.6745,2956.159063590019,0.672882551991548,1936.8916563799808,4801.996742251442,0.6605,2993.2489098349656,0.6313024402964686
XGB_depth_2_lr_0.001_estimators_200_childweight_1_subsample_0.7_seed_1,2.0,0.001,200.0,1.0,0.7,1.0,1910.8337724711569,5106.399455325999,0.6745,2956.159063590019,0.672882551991548,1936.8916563799808,4801.996742251442,0.6605,2993.2489098349656,0.6313024402964686
XGB_depth_2_lr_0.01_estimators_50_childweight_1_subsample_0.8_seed_1,2.0,0.01,50.0,1.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.6743,2956.2283015830426,0.6728608850943865,1936.8916563799808,4801.996742251442,0.6609,2991.6173748825977,0.6318718905970573
XGB_depth_2_lr_0.01_estimators_50_childweight_2_subsample_0.8_seed_1,2.0,0.01,50.0,2.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.6743,2956.2283015830426,0.6728608850943865,1936.8916563799808,4801.996742251442,0.6609,2991.6173748825977,0.6318718905970573
XGB_depth_2_lr_0.001_estimators_100_childweight_2_subsample_0.7_seed_1,2.0,0.001,100.0,2.0,0.7,1.0,1910.8337724711569,5106.399455325999,0.6745,2956.251368392809,0.6728536667136502,1936.8916563799808,4801.996742251442,0.6604,2988.078889037972,0.6331069188904612
XGB_depth_2_lr_0.001_estimators_100_childweight_1_subsample_0.7_seed_1,2.0,0.001,100.0,1.0,0.7,1.0,1910.8337724711569,5106.399455325999,0.6745,2956.251368392809,0.6728536667136502,1936.8916563799808,4801.996742251442,0.6604,2988.078889037972,0.6331069188904612
XGB_depth_2_lr_0.001_estimators_100_childweight_0.5_subsample_0.7_seed_1,2.0,0.001,100.0,0.5,0.7,1.0,1910.8337724711569,5106.399455325999,0.6745,2956.251368392809,0.6728536667136502,1936.8916563799808,4801.996742251442,0.6604,2988.078889037972,0.6331069188904612
XGB_depth_2_lr_0.001_estimators_200_childweight_2_subsample_0.8_seed_1,2.0,0.001,200.0,2.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.6743,2956.369645827744,0.6728166537254431,1936.8916563799808,4801.996742251442,0.6602,2993.701811351134,0.6311443652860957
XGB_depth_2_lr_0.001_estimators_200_childweight_1_subsample_0.8_seed_1,2.0,0.001,200.0,1.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.6743,2956.369645827744,0.6728166537254431,1936.8916563799808,4801.996742251442,0.6602,2993.701811351134,0.6311443652860957
XGB_depth_2_lr_0.001_estimators_200_childweight_0.5_subsample_0.8_seed_1,2.0,0.001,200.0,0.5,0.8,1.0,1910.8337724711569,5106.399455325999,0.6743,2956.369645827744,0.6728166537254431,1936.8916563799808,4801.996742251442,0.6602,2993.701811351134,0.6311443652860957
XGB_depth_2_lr_0.001_estimators_50_childweight_0.5_subsample_0.6_seed_1,2.0,0.001,50.0,0.5,0.6,1.0,1910.8337724711569,5106.399455325999,0.6748,2957.253300241481,0.6725401285335252,1936.8916563799808,4801.996742251442,0.6601,2992.6736549040656,0.6315032199934286
XGB_depth_2_lr_0.001_estimators_50_childweight_1_subsample_0.6_seed_1,2.0,0.001,50.0,1.0,0.6,1.0,1910.8337724711569,5106.399455325999,0.6748,2957.253300241481,0.6725401285335252,1936.8916563799808,4801.996742251442,0.6602,2989.329095666175,0.6326705625995981
XGB_depth_2_lr_0.001_estimators_50_childweight_2_subsample_0.6_seed_1,2.0,0.001,50.0,2.0,0.6,1.0,1910.8337724711569,5106.399455325999,0.6748,2957.253300241481,0.6725401285335252,1936.8916563799808,4801.996742251442,0.6601,2992.6736549040656,0.6315032199934286
XGB_depth_3_lr_0.001_estimators_50_childweight_0.5_subsample_0.6_seed_1,3.0,0.001,50.0,0.5,0.6,1.0,1910.8337724711569,5106.399455325999,0.6764,2957.267944727663,0.672535545781163,1936.8916563799808,4801.996742251442,0.6617,2998.16135784248,0.6295878616474204
XGB_depth_3_lr_0.001_estimators_50_childweight_1_subsample_0.6_seed_1,3.0,0.001,50.0,1.0,0.6,1.0,1910.8337724711569,5106.399455325999,0.6764,2957.267944727663,0.672535545781163,1936.8916563799808,4801.996742251442,0.6617,2998.16135784248,0.6295878616474204
XGB_depth_2_lr_0.001_estimators_50_childweight_2_subsample_0.7_seed_1,2.0,0.001,50.0,2.0,0.7,1.0,1910.8337724711569,5106.399455325999,0.6743,2957.593160719077,0.6724337747572848,1936.8916563799808,4801.996742251442,0.6598,2989.993091372601,0.6324388099460216
XGB_depth_2_lr_0.01_estimators_50_childweight_1_subsample_0.9_seed_1,2.0,0.01,50.0,1.0,0.9,1.0,1910.8337724711569,5106.399455325999,0.674,2957.983753689294,0.6723115450774779,1936.8916563799808,4801.996742251442,0.66,2991.9850395813764,0.6317435655661215
XGB_depth_2_lr_0.01_estimators_50_childweight_2_subsample_0.9_seed_1,2.0,0.01,50.0,2.0,0.9,1.0,1910.8337724711569,5106.399455325999,0.674,2957.983753689294,0.6723115450774779,1936.8916563799808,4801.996742251442,0.66,2991.9850395813764,0.6317435655661215
XGB_depth_2_lr_0.01_estimators_50_childweight_0.5_subsample_0.9_seed_1,2.0,0.01,50.0,0.5,0.9,1.0,1910.8337724711569,5106.399455325999,0.674,2957.983753689294,0.6723115450774779,1936.8916563799808,4801.996742251442,0.66,2991.9850395813764,0.6317435655661215
